,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz
28,LCO,ApogeeBoss,R-12C0,-12.0,0.0,-159.40569399823602,-236.656581621628,4.6500728873896,285.33578973534594,236.03682120620923,-4.0699686752032755e-05,-0.9996358632129091,0.026984056813563514,0.9998348693409875,-0.0005310404550033564,-0.018164582184171163,0.01817229741738388,0.026978861625674182,0.9994708142972244
29,APO,ApogeeBoss,R-12C0,-12.0,0.0,-159.24469831845,-236.41756502066798,4.3493714764492,285.0476082917306,236.03682126262203,-4.0700675688275534e-05,-0.9996807812029429,0.025265273339683536,0.9998552312571709,-0.00047057386907741876,-0.017008676841640067,0.017015136529707896,0.025260923453184893,0.999536077825692
30,LCO,ApogeeBoss,R-12C1,-12.0,1.0,-136.645204442852,-236.67708297229402,4.265683721168198,273.29096856922104,240.00006774528808,-4.070143219310291e-05,-0.9996339639552666,0.02705432406241573,0.9998780377795348,-0.00046320386728828733,-0.015610733753554073,0.015617551329848118,0.027050389077758537,0.999512065230431
31,APO,ApogeeBoss,R-12C1,-12.0,1.0,-136.50667938894,-236.43581675073798,3.9898243177446,273.01276336534784,239.99992785650406,6.644185031146768e-06,-0.9996791387160092,0.02533021065590804,0.9998930797127903,-0.00036375970253628496,-0.014618372732627633,0.014622896372676164,0.02532759946968292,0.9995722503184935
32,LCO,Boss,R-12C2,-12.0,2.0,-113.87565414688999,-236.685486137606,3.9400357829302,262.65506649516016,244.30656080494668,4.463808557204333e-06,-0.999634005390744,0.02705282326361599,0.9999153049708714,-0.0003476230486793084,-0.013010074681765503,0.01301471724946424,0.027050590098444363,0.9995493398078168
33,APO,Boss,R-12C2,-12.0,2.0,-113.75920740239,-236.443456044324,3.6849694291066006,262.3864805492161,244.30656073771812,4.465208011101235e-06,-0.9996791553144019,0.02532955605504773,0.9999257503004876,-0.0003041976103484563,-0.012182009268617285,0.012185805926106677,0.025327729738327233,0.9996049280792054
34,LCO,Boss,R-12C3,-12.0,3.0,-91.10037560990801,-236.684921684836,3.673313957142,253.61196854490774,248.9482108834178,9.32317541350925e-06,-0.9996354562860806,0.02699915644603972,0.9999460072678116,-0.00027124140843982805,-0.010387924588672168,0.010391461025283811,0.02699779553625954,0.9995814807077722
35,APO,Boss,R-12C3,-12.0,3.0,-91.00705276658199,-236.442461919566,3.4355411753351994,253.35216883193414,248.9482108247227,9.32001370359397e-06,-0.9996804296294635,0.025279211399661543,0.9999526667479911,-0.00023663880053673898,-0.009726678038219848,0.009729551722379215,0.025278105505150385,0.9996331092982825
36,LCO,Boss,R-12C4,-12.0,4.0,-68.327720494654,-236.693447982998,3.4661287124581994,246.35840904275167,253.89783987375893,7.138949819579379e-06,-0.9996349108509595,0.027019344126561987,0.9999695826906322,-0.00020360374636402273,-0.007796937798736322,0.007799592461038727,0.027018577932760465,0.9996045031931045
37,APO,Boss,R-12C4,-12.0,4.0,-68.257471039522,-236.450096730814,3.2418749847156,246.10512102904826,253.89783982595378,7.1384153170544055e-06,-0.9996799534347611,0.025298036479476003,0.9999733346484734,-0.00017760892049501184,-0.007300578544449064,0.00730273517631142,0.025297414013002045,0.9996532953495424
38,LCO,Boss,R-12C5,-12.0,5.0,-45.553388925044004,-236.70177373165,3.3181874123799995,241.04530887421467,259.10657936462115,4.955373581265043e-06,-0.9996341049940081,0.027049142468346825,0.9999864510639456,-0.00013585194468537806,-0.005203771015780057,0.005205541660559454,0.027048801767874605,0.9996205603422443
39,APO,Boss,R-12C5,-12.0,5.0,-45.506407771356,-236.45765231869999,3.1035725114354005,240.79670780208798,259.1065793298159,4.957528013751106e-06,-0.9996792473849715,0.025325921962288004,0.9999881223680298,-0.00011848064406845953,-0.004872482447267002,0.00487392021732608,0.025325645305775864,0.9996673729754117
40,LCO,Boss,R-12C6,-12.0,6.0,-22.7771058484658,-236.70547284744202,3.229379924387,237.79881712650155,264.5036068087917,9.816807962744227e-06,-0.9996338564733271,0.027058323966828668,0.9999966103533948,-6.0638222680548274e-05,-0.002602999179159221,0.0026036868765338997,0.027058257801815762,0.9996304674725454
41,APO,Boss,R-12C6,-12.0,6.0,-22.7535784979082,-236.460969772822,3.0205296506228,237.5531846984248,264.5036067887373,9.8142676312953e-06,-0.9996790294017008,0.025334523444373206,0.9999970284759213,-5.1949798258869454e-05,-0.0024372813842179286,0.0024378152119357327,0.025334472082358565,0.9996760583215448
42,LCO,Fiducial,R-12C7,-12.0,7.0,-1.60633088842908e-05,-236.706358896978,3.1997672450298,236.70635889697854,269.99999611180783,7.633317267698156e-06,-0.9996338429141367,0.027058825592542756,0.9999999999708663,7.630483408596824e-06,-2.0798443111725034e-07,1.436356404034917e-09,0.02705882559334204,0.9996338429432595
43,APO,Fiducial,R-12C7,-12.0,7.0,-1.6064100054082597e-05,-236.461751975728,2.9928316327144,236.46175197572853,269.99999610759403,7.633380103910364e-06,-0.9996790175029626,0.0253349937052107,0.9999999999708659,7.630895850892983e-06,-1.9473605785130313e-07,1.3448526376986383e-09,0.025334993705959073,0.9996790175320871
44,LCO,Boss,R-12C8,-12.0,8.0,22.777073715840203,-236.705504280958,3.2293813313183994,237.7988453377338,275.49638475927026,5.45011635833355e-06,-0.9996338553345212,0.02705836727035862,0.9999966103942154,7.589954031256814e-05,0.002602583205133997,-0.0026036840008144017,0.0270582613687791,0.9996304673834842
45,APO,Boss,R-12C8,-12.0,8.0,22.7535463959658,-236.46100150682,3.0205180197849995,237.55321321169643,275.4963847710307,5.4527496497630135e-06,-0.9996790284075076,0.025334563988537295,0.9999970285157792,6.721190053866704e-05,0.0024368919081791418,-0.0024378125192976298,0.025334475419518665,0.9996760582435384
46,LCO,Boss,R-12C9,-12.0,9.0,45.55344483781,-236.701785780902,3.3181890872813997,241.04533127289443,280.8934331449362,3.2678467407345283e-06,-0.9996341038086891,0.027049186529728993,0.9999864510335603,0.00014407246809375213,0.005203555748595939,-0.005205548830429521,0.027048803036785796,0.9996205602705714
47,APO,Boss,R-12C9,-12.0,9.0,45.506463706219996,-236.457664944024,3.1035510911074,240.79673077063532,280.8934331719155,3.272985602612538e-06,-0.9996792463457778,0.02532596325562656,0.9999881223422384,0.0001267087912926704,0.004872280710990028,-0.004873926931340024,0.02532564649559791,0.9996673729125344
48,LCO,Boss,R-12C10,-12.0,10.0,68.32768835400199,-236.69344073967997,3.4661286978023997,246.35839316936213,286.1021534117366,8.12815981761032e-06,-0.999634907646353,0.02701946240768429,0.9999695827052959,0.0002188656634979654,0.0077965224310628,-0.007799589612905398,0.027018577177353148,0.9996045032357457
49,APO,Boss,R-12C10,-12.0,10.0,68.2574389611,-236.450089705428,3.2418666168126,246.1051053823005,286.10215345247883,8.128671529209128e-06,-0.9996799506243722,0.025298147236061615,0.9999733346603783,0.00019287145557082768,0.007300189641683208,-0.007302732511027087,0.025297413311530067,0.9996532953867645
50,LCO,Boss,R-12C11,-12.0,11.0,91.10034346646201,-236.68494593955,3.6733127004769988,253.61197963447046,291.05178037111006,5.945396660837853e-06,-0.999635451952738,0.026999317841335906,0.9999460073233107,0.00028650519026385024,0.010387509467882697,-0.010391458166285393,0.026997798318032767,0.9995814806623606
51,APO,Boss,R-12C11,-12.0,11.0,91.00702022816598,-236.442485117132,3.435580639239,253.35217879302914,291.0517804233545,5.9484550583680054e-06,-0.999680425833819,0.025279362518273084,0.9999526667997539,0.00025190307014747994,0.009726289369725848,-0.009729549047940206,0.025278108108749715,0.9996331092584749
52,LCO,Boss,R-12C12,-12.0,12.0,113.8757100815,-236.68549110991,3.9400325573079993,262.6550952266206,295.6934497199949,3.761461105479365e-06,-0.9996340024765038,0.027052931054816886,0.9999153048788737,0.0003558462116303172,0.013009859432860699,-0.01301472453955659,0.027050590867464138,0.9995493396920837
53,APO,Boss,R-12C12,-12.0,12.0,113.75926214421598,-236.44345870852996,3.6850568455434,262.3865066836493,295.6934497818033,3.766904486086445e-06,-0.9996791527579449,0.025329657063765422,0.9999257502201485,0.0003124278743983353,0.012181807562789254,-0.012185812754345157,0.025327730454599157,0.9996049279778163
54,LCO,ApogeeBoss,R-12C13,-12.0,13.0,136.64576412601002,-236.67675983882802,4.265683721168198,273.2909685690097,300.000067745273,8.623002883866176e-06,-0.9996339782565524,0.027053824879712626,0.9998780386155874,0.00043113321649867483,0.015611598841734778,-0.015617548459647707,0.02705039073891481,0.9995120652303215
55,APO,ApogeeBoss,R-12C13,-12.0,13.0,136.506083976364,-236.43616051256,3.9898243177446,273.01276336553053,299.99992785652375,5.368326394989061e-05,-0.9996791149495908,0.02533109258816409,0.9998930782938393,0.00042407424274562436,0.01461684443055372,-0.01462289636759904,0.02532759946460797,0.9995722503186966
56,LCO,ApogeeBoss,R-12C14,-12.0,14.0,159.40571763090398,-236.656600813614,4.650079535102999,285.33581885574364,303.9631805767175,5.149575698940889e-05,-0.9996358573772374,0.026984254554506308,0.9998348687856001,0.0005418344910795547,0.0181642939820435,-0.018172300588225953,0.026978863227713264,0.9994708141963284
57,APO,ApogeeBoss,R-12C14,-12.0,14.0,159.244720451756,-236.417582051368,4.3494642428372,285.0476347819312,303.9631805148425,5.150010377550106e-05,-0.9996807760240439,0.02526545854926626,0.999855230708726,0.0004813715134300242,0.017008406917360223,-0.017015139498098745,0.025260924952017063,0.9995360777372814
58,LCO,ApogeeBoss,R-11C0,-11.0,0.0,-170.802218840904,-216.948400240762,4.3543513383461985,276.11592914571577,231.7868463912186,-4.069864609358506e-05,-0.9996929874352145,0.024777595050288453,0.9998097983914862,-0.0005239148174152218,-0.019495962495849273,0.019502958339587224,0.024772088852576916,0.9995028655436082
59,APO,ApogeeBoss,R-11C0,-11.0,0.0,-170.62870547165002,-216.72800858985198,4.0727449883774005,275.8354307159507,231.78684644003468,-4.0699548951530545e-05,-0.9997308653414662,0.02319903504781553,0.9998332555933679,-0.000464316361867535,-0.018255010815741633,0.018260869451191448,0.02319442376777574,0.9995641847089997
60,LCO,Boss,R-11C1,-11.0,1.0,-148.03779296776398,-216.96200335960603,3.9400325573079993,262.6550952267636,235.69344971998026,-4.070056207951293e-05,-0.9996924165953064,0.024800615825029026,0.9998568603355324,-0.0004602872269668427,-0.016912923332186292,0.01691913660432963,0.02479637750771521,0.999549339692173
61,APO,Boss,R-11C1,-11.0,1.0,-147.886410728238,-216.74014028695,3.6850568455434,262.3865066837239,235.69344978178742,-4.070125457473343e-05,-0.9997303635947944,0.02322064706307529,0.999874513919533,-0.00040853625364187116,-0.015836335191794393,0.015841551615459935,0.023217088636379273,0.9996049279778813
62,LCO,ApogeeBoss,R-11C2,-11.0,2.0,-125.263813678374,-216.964006067056,3.5844969187997995,250.52824780035465,240.0000819233001,-4.07022457222935e-05,-0.9996935881910285,0.024753344684578897,0.9998978983016111,-0.0003943998427219281,-0.01428416678652167,0.0142895526643874,0.02475023592837931,0.9995915338307649
63,APO,ApogeeBoss,R-11C2,-11.0,2.0,-125.135914757642,-216.741074688688,3.3525152284588007,250.2712341030013,239.99992130103305,6.646044187958221e-06,-0.9997314091112475,0.023175624959635696,0.9999104930443808,-0.0003034301366550585,-0.013375867444595936,0.013379306991519723,0.02317363947660708,0.9996419241797709
64,LCO,ApogeeBoss,R-11C3,-11.0,3.0,-102.49576057321998,-216.97788608882598,3.288591725191,239.96829787923733,244.71494119243016,4.463424087961671e-06,-0.999692421279423,0.024800460007072672,0.9999313840991172,-0.000286060664505146,-0.011710903591111599,0.0117143960024379,0.02479881057189616,0.9996238252065212
65,APO,ApogeeBoss,R-11C3,-11.0,3.0,-102.389992648358,-216.753980493966,3.0759098771240003,239.7206679752695,244.71494111923423,4.4648584993968745e-06,-0.9997303717746383,0.023220330131337032,0.9999398483422743,-0.0002502200033606219,-0.010965267309972628,0.010968120955490724,0.023218982348353647,0.9996702352183007
66,LCO,ApogeeBoss,R-11C4,-11.0,4.0,-79.72076295033199,-216.982702688032,3.0516405460843994,231.1642128686573,249.82636129329865,9.322773899091407e-06,-0.9996925976802826,0.024793347017583286,0.9999585135166744,-0.00021651937159224878,-0.009106281616799326,0.00910885056462224,0.024792403324610232,0.9996511219314372
67,APO,ApogeeBoss,R-11C4,-11.0,4.0,-79.63825366831,-216.758129509798,2.8542999699764007,230.92496217586452,249.8263612309417,9.319641978203382e-06,-0.9997305265241619,0.02321366513211604,0.9999636313540555,-0.0001886617272458561,-0.008526451545820985,0.008528533423445901,0.023212900346023538,0.9996941659203433
68,LCO,ApogeeBoss,R-11C5,-11.0,5.0,-56.943557492642,-216.983374060578,2.8738434664240002,224.33090147955662,255.29529746892928,7.139232291631681e-06,-0.9996932373145098,0.02476754361390322,0.9999788768948242,-0.00015384397460834552,-0.006497853199139385,0.006499670237592944,0.024767066836157904,0.9996721195907866
69,APO,ApogeeBoss,R-11C5,-11.0,5.0,-56.884538986345994,-216.758483349324,2.6879524996747994,224.0983955310441,255.29529742047134,7.138732042001677e-06,-0.9997310881250259,0.0231894671217452,0.9999814828050947,-0.00013398412846414966,-0.006084085401917538,0.006085556339646459,0.023189081150518154,0.9997125749531371
70,LCO,ApogeeBoss,R-11C6,-11.0,6.0,-34.166486114947986,-216.98577112360198,2.7553647173266,219.65922162191853,261.051701780577,4.955810166032251e-06,-0.9996933310220568,0.02476376153705771,0.9999923978758044,-9.160589361065371e-05,-0.0038981789285838847,0.0038992519845407795,0.02476359259850172,0.9996857307752154
